sample_name	majority_ST																
ZG301975	313																
ZG205864	111																
ZG302367	274																
ZG302359	244																
PSAE1647	313																
PSAE1649	313																
MHH17441	235																
PSAE1975	395																
PSAE1745	111																
ZG8038581181	170																
ZG8006959	308																
ZG8525123	111																
ZG8510487	111																
ESP088	175																
CH5356	1455																
CH5362	804																
CH5267	446																
CH5334	620																
CH5353	1756																
CH5182	564																
CH5193	235																
CH5206	2171																
CH5262	980																
MHH16427	252																
MHH16379	198																
MHH16371	564																
MHH16208	252																
MHH16050	293																
MHH15817	233																
MHH15280	697																
MHH15275	175																
F2017	395																
F2010	244																
F2040	235																
F2035	395																
F2034	282																
F2030	235																
ESP032	938																
ESP033	312																
ESP037	316																
F1688	1750																
F1689	1750																
F1727	1684																
F1741	235																
F2236	245																
F2240	175																
F2172	132																
F2176	233																
F2199	175																
F2205	244																
F2208	235																
F2230	244																
F2234	395																
F2235	175																
CH2582	27																
MHH15187	17																
MHH14911	620																
CH4549	17																
CH4560	235																
ESP061	175																
ESP063	175																
ESP053	235																
ESP055	1244																
ESP047	175																
ESP050	312																
ESP060	155																
ESP058	267																
F2137	395																
F2128	244																
F2165	395																
F2148	395																
Vb20477	235																
F2093	244																
F2119	395																
F2098	111																
PSAE2127	235																
PSAE2139	235																
CH2748	235																
CH2747	395																
F1758	499																
F1757	654																
CH2500	253																
CH5464	235																
CH5531	168																
CH5528	560																
F2005	1129																
F2006	395																
F1752	233																
CH5432	Novel_9																
F1983	235																
F1997	1129																
F2000	235																
F2003	253																
F1748	244																
F1957	446																
F1968	2450																
F1979	235																
F1747	235																
CH2735	697																
CH2543	235																
CH2707	277																
ESP044	1202																
ESP035	386																
ESP034	1637																
ESP084	179																
ESP036	198																
ESP039	550																
ESP038	1144																
ESP043	175																
ESP040	550																
ESP091	235																
F1659	446																
PSAE1934	17																
PSAE1912	164																
F1697	235																
F1706	244																
F1712	175																
F1724	235																
PSAE1742	111																
PSAE1656	313																
PSAE1654	313																
PSAE1651	313																
PSAE1903	27																
PSAE1872	348																
PSAE1837	313																
CH2591	235																
ESP082	175																
ESP083	175																
ESP075	3370																
ESP076	3370																
F1760	233																
F1759	591																
CF592_Iso2	313																
CF609_Iso3	155																
F1754	308																
CH2502	274																
CH2522	132																
CH2527	17																
F1746	235																
F1745	175																
PSAE1642	313																
PSAE1645	296																
CH4745	235																
CH4733	17																
PSAE1439	527																
PSAE1630	348																
PSAE1401	527																
PSAE1438	527																
CH4634	446																
MHH14929	155																
MHH0927	2238																
MHH0985	17																
MHH15083	175																
MHH15103	620																
MHH14990	1405																
MHH15015	282																
CH4035	235																
CH3906	27																
CH4083	1108																
CH3648	235																
CH3613	111																
CH3882	244																
CH3797	319																
CH4418	235																
ESP021	253																
ESP020	308																
ESP015	312																
ESP013	1109																
ESP012	1109																
ESP011	179																
ESP009	1613																
M70565897	27																
M70565254	348																
M70564993	560																
M70563004	2332																
M70640096	17																
M70639645	170																
CH2706	664																
F2097	235																
ESP064	179																
CH2713	253																
PSAE1970	282																
ESP068	235																
F1800	17																
F1801	446																
ESP072	1247																
ESP071	175																
ESP070	446																
ESP069	179																
F1775	245																
F1787	244																
F1763	654																
CH5596	2223																
CH5597	564																
CH5551	654																
CH5591	357																
CH4766	871																
CH4780	2331																
ESP002	1072																
CH2698	111																
CH2690	252																
CH2675	235																
CH2674	235																
CH2678	293																
CH2677	313																
CH2682	17																
CH2680	252																
CH2687	309																
CH2685	296																
CH4877	357																
CH4878	663																
ZG302383	238																
ZG302431	395																
ZG302368	274																
ZG302370	348																
ZG302451	17																
MHH1525	308																
MHH15204	253																
CH3549	190																
CH3570	244																
CH2939	259																
CH3173	235																
CH3177	381																
CH3290	235																
CH3325	447																
CH3462	253																
CH3466	244																
ESP024	155																
ESP025	1613																
ESP022	244																
ESP023	1527																
F2045	308																
F2044	309																
ESP027	505																
ESP028	1339																
ESP029	277																
ESP031	606																
F2029	291																
F2020	253																
CH2598	277																
CH2608	235																
CH2623	654																
F2167	235																
F2166	395																
PSAE1984	155																
PSAE2125	395																
ZG5021922	357																
ZG5048010	308																
ZG322541	111																
ZG5003493	274																
ZG316716	170																
ZG316722	1158																
ZG316694	3292																
ZG316704	446																
ESP078	179																
ZG5051896	233																
ZG5089456	111																
CH5550	261																
CH5695	235																
ESP079	175																
F1883	282																
F1880	282																
F1812	233																
F1810	235																
F1823	395																
CH4602	235																
CH4591	244																
CH4584	1108																
CH4704	794																
CH4684	2171																
CH4681	244																
CH5174	235																
CH5159	235																
CH4990	395																
CH4916	235																
CH4914	111																
CH4891	27																
CH5066	1007																
CH5052	235																
CH5022	235																
CH4992	27																
CH2665	357																
CH2672	446																
CH2639	235																
CH2657	235																
CH2658	1031																
CH2660	1750																
CH2597	645																
ESP006	299																
ESP004	701																
ESP003	701																
F2073	357																
F2064	235																
F2065	244																
F2056	235																
F2059	175																
F2054	233																
F2055	175																
F2081	244																
F2084	244																
CH5478	252																
CH5363	245																
CH5462	238																
F1894	1398																
CH5548	2615																
CH2734	316																
M70638412	235																
M70635118	235																
M70608424	395																
M70604538	395																
F1764	850																
F1796	175																
F1798	175																
F1789	233																
F1795	235																
MHH1883	253																
MHH17783	1035																
MS1	395																
MHH2419	27																
MHH17501	564																
CH4757	253																
MHH17767	569																
MS5	274																
MS2	274																
CH4785	389																
CH4840	274																
CH4860	27																
CH4755	27																
CH5666	235																
CH5688	235																
CH5621	641																
CH5638	260																
ZG314696	244																
ZG302432	260																
ZG302442	253																
ZG314738	253																
ZG314777	170																
ESP074	175																
ESP073	1247																
MHH0426	179																
MHH0147	850																
M70646050	1129																
M70641593	395																
M70647319	836																
M70646077	111																
M70652746	274																
M70649365	395																
M70663247	309																
M70656672	395																
CH4528	697																
CH4548	235																
CH4509	132																
CH4520	389																
CH4446	2241																
CH4489	1197																
CH4438	132																
F1821	233																
F1862	313																
F1853	235																
F1869	235																
F1864	235																
MHH16513	198																
MHH16530	446																
MHH16563	446																
MHH16610	198																
MHH16727	620																
MHH16798	198																
MHH16951	560																
MHH17233	235																
MHH17247	390																
ESP081	277																
CH2922	926																
CH2875	395																
CH2860	1750																
CH2848	274																
CH2829	253																
CH2824	1182																
CH2764	275																
CH2756	2533																
CH2699	235																
CH2705	357																
CH2724	274																
CH2730	316																
CH2560	235																
CH2718	267																
PSAE1635	313																
PSAE1641	296																
ZG02488718	253																
ZG02420619	198																
ZG02512057	253																
ZG205710	12																
ZG205694	348																
ESP046	Novel_200																
CH5291	275																
MHH15151	Novel_158																
CH4443	395																
ESP059	Novel_174																
ESP057	Novel_174																
PSAE2126	Novel_66																
CH4411	17																
Vb3320	Novel_43																
ESP067	Novel_137																
PSAE2325	Novel_66																
CH4703	1129																
F2075	Novel_94																
MHH17546	1144																
MHH16459	Novel_33																
ZG205565	270																
																	
